experiment,condition,objective,score,food,wall_bounces,ltm_usage,trial,domain,weight_config,checkpoint,rep
8,A,baseline,27.0,27,4,0.0,0.0,,compound_2,,
8,A,baseline,31.0,31,7,0.0,1.0,,compound_2,,
8,A,baseline,39.0,39,7,0.0,2.0,,compound_2,,
8,D,baseline,28.0,28,9,0.004,0.0,,compound_2,,
8,D,baseline,30.0,30,5,0.015,1.0,,compound_2,,
8,D,baseline,23.0,23,8,0.008,2.0,,compound_2,,
8,A,efficiency,266.0,29,4,0.0,0.0,,compound_2,,
8,A,efficiency,246.0,27,2,0.0,1.0,,compound_2,,
8,A,efficiency,256.0,28,11,0.0,2.0,,compound_2,,
8,D,efficiency,306.0,33,9,0.005,0.0,,compound_2,,
8,D,efficiency,326.0,35,4,0.008,1.0,,compound_2,,
8,D,efficiency,296.0,32,12,0.005,2.0,,compound_2,,
8,A,accuracy,302.0,32,9,0.0,0.0,,compound_2,,
8,A,accuracy,292.0,31,9,0.0,1.0,,compound_2,,
8,A,accuracy,334.0,34,3,0.0,2.0,,compound_2,,
8,D,accuracy,290.0,30,5,0.01,0.0,,compound_2,,
8,D,accuracy,348.0,36,6,0.007,1.0,,compound_2,,
8,D,accuracy,246.0,26,7,0.005,2.0,,compound_2,,
8,A,speed,340.0,23,15,0.0,0.0,,compound_2,,
8,A,speed,500.0,31,4,0.0,1.0,,compound_2,,
8,A,speed,560.0,34,8,0.0,2.0,,compound_2,,
8,D,speed,500.0,31,5,0.006,0.0,,compound_2,,
8,D,speed,500.0,31,5,0.006,1.0,,compound_2,,
8,D,speed,400.0,26,4,0.007,2.0,,compound_2,,
8,A,balance,387.5,41,7,0.0,0.0,,compound_2,,
8,A,balance,95.5,13,15,0.0,1.0,,compound_2,,
8,A,balance,241.5,27,11,0.0,2.0,,compound_2,,
8,D,balance,297.5,32,7,0.006,0.0,,compound_2,,
8,D,balance,294.5,32,9,0.005,1.0,,compound_2,,
8,D,balance,273.5,29,3,0.004,2.0,,compound_2,,
8,A,baseline,35.0,35,4,0.0,0.0,,food_emphasis,,
8,A,baseline,17.0,17,10,0.0,1.0,,food_emphasis,,
8,A,baseline,27.0,27,5,0.0,2.0,,food_emphasis,,
8,D,baseline,27.0,27,6,0.005,0.0,,food_emphasis,,
8,D,baseline,24.0,24,10,0.01,1.0,,food_emphasis,,
8,D,baseline,28.0,28,8,0.006,2.0,,food_emphasis,,
8,A,efficiency,206.0,23,14,0.0,0.0,,food_emphasis,,
8,A,efficiency,296.0,32,12,0.0,1.0,,food_emphasis,,
8,A,efficiency,216.0,24,4,0.0,2.0,,food_emphasis,,
8,D,efficiency,276.0,30,5,0.008,0.0,,food_emphasis,,
8,D,efficiency,246.0,27,3,0.011,1.0,,food_emphasis,,
8,D,efficiency,296.0,32,7,0.013,2.0,,food_emphasis,,
8,A,accuracy,254.0,27,8,0.0,0.0,,food_emphasis,,
8,A,accuracy,346.0,36,7,0.0,1.0,,food_emphasis,,
8,A,accuracy,332.0,35,9,0.0,2.0,,food_emphasis,,
8,D,accuracy,238.0,25,6,0.004,0.0,,food_emphasis,,
8,D,accuracy,310.0,32,5,0.005,1.0,,food_emphasis,,
8,D,accuracy,378.0,39,6,0.004,2.0,,food_emphasis,,
8,A,speed,580.0,35,6,0.0,0.0,,food_emphasis,,
8,A,speed,560.0,34,5,0.0,1.0,,food_emphasis,,
8,A,speed,320.0,22,13,0.0,2.0,,food_emphasis,,
8,D,speed,480.0,30,10,0.006,0.0,,food_emphasis,,
8,D,speed,600.0,36,6,0.006,1.0,,food_emphasis,,
8,D,speed,480.0,30,4,0.013,2.0,,food_emphasis,,
8,A,balance,207.0,24,14,0.0,0.0,,food_emphasis,,
8,A,balance,227.5,25,7,0.0,1.0,,food_emphasis,,
8,A,balance,327.5,35,7,0.0,2.0,,food_emphasis,,
8,D,balance,277.5,30,7,0.004,0.0,,food_emphasis,,
8,D,balance,303.0,33,10,0.005,1.0,,food_emphasis,,
8,D,balance,217.5,24,7,0.007,2.0,,food_emphasis,,
9,A,baseline,24.0,24,9,0.0,0.0,,,0.0,0.0
9,A,baseline,28.0,28,3,0.0,1.0,,,0.0,0.0
9,D,baseline,35.0,35,13,0.007,0.0,,,0.0,0.0
9,D,baseline,33.0,33,4,0.005,1.0,,,0.0,0.0
9,A,efficiency,306.0,33,1,0.0,0.0,,,0.0,0.0
9,A,efficiency,266.0,29,7,0.0,1.0,,,0.0,0.0
9,D,efficiency,366.0,39,11,0.013,0.0,,,0.0,0.0
9,D,efficiency,286.0,31,8,0.005,1.0,,,0.0,0.0
9,A,accuracy,246.0,25,2,0.0,0.0,,,0.0,0.0
9,A,accuracy,316.0,33,7,0.0,1.0,,,0.0,0.0
9,D,accuracy,336.0,35,7,0.015,0.0,,,0.0,0.0
9,D,accuracy,192.0,21,9,0.011,1.0,,,0.0,0.0
9,A,speed,500.0,31,9,0.0,0.0,,,0.0,0.0
9,A,speed,500.0,31,10,0.0,1.0,,,0.0,0.0
9,D,speed,440.0,28,5,0.007,0.0,,,0.0,0.0
9,D,speed,460.0,29,8,0.007,1.0,,,0.0,0.0
9,A,balance,394.5,42,9,0.0,0.0,,,0.0,0.0
9,A,balance,337.5,36,7,0.0,1.0,,,0.0,0.0
9,D,balance,207.5,23,7,0.008,0.0,,,0.0,0.0
9,D,balance,207.5,23,7,0.006,1.0,,,0.0,0.0
9,A,baseline,33.0,33,4,0.0,0.0,,,0.0,1.0
9,A,baseline,34.0,34,6,0.0,1.0,,,0.0,1.0
9,D,baseline,35.0,35,7,0.013,0.0,,,0.0,1.0
9,D,baseline,34.0,34,6,0.008,1.0,,,0.0,1.0
9,A,efficiency,226.0,25,6,0.0,0.0,,,0.0,1.0
9,A,efficiency,276.0,30,8,0.0,1.0,,,0.0,1.0
9,D,efficiency,296.0,32,6,0.019,0.0,,,0.0,1.0
9,D,efficiency,366.0,39,6,0.013,1.0,,,0.0,1.0
9,A,accuracy,250.0,26,5,0.0,0.0,,,0.0,1.0
9,A,accuracy,288.0,31,11,0.0,1.0,,,0.0,1.0
9,D,accuracy,254.0,28,13,0.006,0.0,,,0.0,1.0
9,D,accuracy,266.0,28,7,0.005,1.0,,,0.0,1.0
9,A,speed,540.0,33,7,0.0,0.0,,,0.0,1.0
9,A,speed,600.0,36,5,0.0,1.0,,,0.0,1.0
9,D,speed,620.0,37,6,0.005,0.0,,,0.0,1.0
9,D,speed,520.0,32,3,0.007,1.0,,,0.0,1.0
9,A,balance,327.5,35,7,0.0,0.0,,,0.0,1.0
9,A,balance,242.0,26,4,0.0,1.0,,,0.0,1.0
9,D,balance,181.5,21,11,0.01,0.0,,,0.0,1.0
9,D,balance,253.0,28,10,0.008,1.0,,,0.0,1.0
9,A,baseline,30.0,30,6,0.0,0.0,,,2.0,0.0
9,A,baseline,26.0,26,6,0.0,1.0,,,2.0,0.0
9,D,baseline,22.0,22,9,0.007,0.0,,,2.0,0.0
9,D,baseline,29.0,29,8,0.007,1.0,,,2.0,0.0
9,A,efficiency,356.0,38,6,0.0,0.0,,,2.0,0.0
9,A,efficiency,226.0,25,13,0.0,1.0,,,2.0,0.0
9,D,efficiency,296.0,32,0,0.008,0.0,,,2.0,0.0
9,D,efficiency,296.0,32,8,0.01,1.0,,,2.0,0.0
9,A,accuracy,250.0,26,5,0.0,0.0,,,2.0,0.0
9,A,accuracy,298.0,31,6,0.0,1.0,,,2.0,0.0
9,D,accuracy,302.0,33,14,0.013,0.0,,,2.0,0.0
9,D,accuracy,256.0,27,7,0.008,1.0,,,2.0,0.0
9,A,speed,620.0,37,8,0.0,0.0,,,2.0,0.0
9,A,speed,460.0,29,4,0.0,1.0,,,2.0,0.0
9,D,speed,600.0,36,5,0.01,0.0,,,2.0,0.0
9,D,speed,420.0,27,5,0.007,1.0,,,2.0,0.0
9,A,balance,290.5,31,5,0.0,0.0,,,2.0,0.0
9,A,balance,196.0,22,8,0.0,1.0,,,2.0,0.0
9,D,balance,312.0,33,4,0.003,0.0,,,2.0,0.0
9,D,balance,286.0,31,8,0.005,1.0,,,2.0,0.0
9,A,baseline,35.0,35,7,0.0,0.0,,,2.0,1.0
9,A,baseline,24.0,24,9,0.0,1.0,,,2.0,1.0
9,D,baseline,29.0,29,8,0.005,0.0,,,2.0,1.0
9,D,baseline,27.0,27,14,0.009,1.0,,,2.0,1.0
9,A,efficiency,326.0,35,2,0.0,0.0,,,2.0,1.0
9,A,efficiency,266.0,29,6,0.0,1.0,,,2.0,1.0
9,D,efficiency,246.0,27,8,0.006,0.0,,,2.0,1.0
9,D,efficiency,306.0,33,5,0.007,1.0,,,2.0,1.0
9,A,accuracy,270.0,28,5,0.0,0.0,,,2.0,1.0
9,A,accuracy,282.0,30,9,0.0,1.0,,,2.0,1.0
9,D,accuracy,266.0,29,12,0.007,0.0,,,2.0,1.0
9,D,accuracy,296.0,31,7,0.007,1.0,,,2.0,1.0
9,A,speed,460.0,29,12,0.0,0.0,,,2.0,1.0
9,A,speed,280.0,20,8,0.0,1.0,,,2.0,1.0
9,D,speed,500.0,31,4,0.01,0.0,,,2.0,1.0
9,D,speed,500.0,31,8,0.013,1.0,,,2.0,1.0
9,A,balance,241.5,27,11,0.0,0.0,,,2.0,1.0
9,A,balance,256.0,28,8,0.0,1.0,,,2.0,1.0
9,D,balance,348.0,36,0,0.007,0.0,,,2.0,1.0
9,D,balance,160.0,19,12,0.021,1.0,,,2.0,1.0
9,A,baseline,35.0,35,5,0.0,0.0,,,5.0,0.0
9,A,baseline,39.0,39,8,0.0,1.0,,,5.0,0.0
9,D,baseline,29.0,29,8,0.003,0.0,,,5.0,0.0
9,D,baseline,31.0,31,9,0.008,1.0,,,5.0,0.0
9,A,efficiency,226.0,25,4,0.0,0.0,,,5.0,0.0
9,A,efficiency,216.0,24,9,0.0,1.0,,,5.0,0.0
9,D,efficiency,286.0,31,6,0.013,0.0,,,5.0,0.0
9,D,efficiency,276.0,30,9,0.005,1.0,,,5.0,0.0
9,A,accuracy,244.0,26,8,0.0,0.0,,,5.0,0.0
9,A,accuracy,232.0,25,9,0.0,1.0,,,5.0,0.0
9,D,accuracy,234.0,24,3,0.005,0.0,,,5.0,0.0
9,D,accuracy,258.0,27,6,0.01,1.0,,,5.0,0.0
9,A,speed,520.0,32,6,0.0,0.0,,,5.0,0.0
9,A,speed,580.0,35,5,0.0,1.0,,,5.0,0.0
9,D,speed,520.0,32,8,0.005,0.0,,,5.0,0.0
9,D,speed,420.0,27,7,0.004,1.0,,,5.0,0.0
9,A,balance,289.0,31,6,0.0,0.0,,,5.0,0.0
9,A,balance,264.5,29,9,0.0,1.0,,,5.0,0.0
9,D,balance,230.5,25,5,0.013,0.0,,,5.0,0.0
9,D,balance,220.5,24,5,0.007,1.0,,,5.0,0.0
9,A,baseline,35.0,35,10,0.0,0.0,,,5.0,1.0
9,A,baseline,33.0,33,5,0.0,1.0,,,5.0,1.0
9,D,baseline,23.0,23,2,0.005,0.0,,,5.0,1.0
9,D,baseline,34.0,34,7,0.008,1.0,,,5.0,1.0
9,A,efficiency,346.0,37,2,0.0,0.0,,,5.0,1.0
9,A,efficiency,216.0,24,13,0.0,1.0,,,5.0,1.0
9,D,efficiency,316.0,34,7,0.01,0.0,,,5.0,1.0
9,D,efficiency,316.0,34,4,0.007,1.0,,,5.0,1.0
9,A,accuracy,266.0,28,7,0.0,0.0,,,5.0,1.0
9,A,accuracy,338.0,35,6,0.0,1.0,,,5.0,1.0
9,D,accuracy,220.0,24,10,0.012,0.0,,,5.0,1.0
9,D,accuracy,304.0,31,3,0.01,1.0,,,5.0,1.0
9,A,speed,400.0,26,7,0.0,0.0,,,5.0,1.0
9,A,speed,300.0,21,9,0.0,1.0,,,5.0,1.0
9,D,speed,460.0,29,6,0.008,0.0,,,5.0,1.0
9,D,speed,420.0,27,11,0.009,1.0,,,5.0,1.0
9,A,balance,260.5,28,5,0.0,0.0,,,5.0,1.0
9,A,balance,270.5,29,5,0.0,1.0,,,5.0,1.0
9,D,balance,249.0,27,6,0.009,0.0,,,5.0,1.0
9,D,balance,297.5,32,7,0.006,1.0,,,5.0,1.0
9,A,baseline,34.0,34,4,0.0,0.0,,,10.0,0.0
9,A,baseline,35.0,35,6,0.0,1.0,,,10.0,0.0
9,D,baseline,32.0,32,9,0.007,0.0,,,10.0,0.0
9,D,baseline,30.0,30,10,0.004,1.0,,,10.0,0.0
9,A,efficiency,266.0,29,8,0.0,0.0,,,10.0,0.0
9,A,efficiency,286.0,31,4,0.0,1.0,,,10.0,0.0
9,D,efficiency,216.0,24,8,0.005,0.0,,,10.0,0.0
9,D,efficiency,306.0,33,10,0.005,1.0,,,10.0,0.0
9,A,accuracy,316.0,33,7,0.0,0.0,,,10.0,0.0
9,A,accuracy,294.0,31,8,0.0,1.0,,,10.0,0.0
9,D,accuracy,294.0,31,8,0.005,0.0,,,10.0,0.0
9,D,accuracy,284.0,30,8,0.004,1.0,,,10.0,0.0
9,A,speed,620.0,37,3,0.0,0.0,,,10.0,0.0
9,A,speed,420.0,27,5,0.0,1.0,,,10.0,0.0
9,D,speed,440.0,28,9,0.005,0.0,,,10.0,0.0
9,D,speed,640.0,38,8,0.004,1.0,,,10.0,0.0
9,A,balance,269.0,29,6,0.0,0.0,,,10.0,0.0
9,A,balance,223.0,25,10,0.0,1.0,,,10.0,0.0
9,D,balance,322.0,34,4,0.008,0.0,,,10.0,0.0
9,D,balance,203.0,23,10,0.014,1.0,,,10.0,0.0
9,A,baseline,30.0,30,4,0.0,0.0,,,10.0,1.0
9,A,baseline,26.0,26,5,0.0,1.0,,,10.0,1.0
9,D,baseline,19.0,19,10,0.003,0.0,,,10.0,1.0
9,D,baseline,37.0,37,12,0.002,1.0,,,10.0,1.0
9,A,efficiency,316.0,34,5,0.0,0.0,,,10.0,1.0
9,A,efficiency,256.0,28,8,0.0,1.0,,,10.0,1.0
9,D,efficiency,236.0,26,7,0.003,0.0,,,10.0,1.0
9,D,efficiency,256.0,28,7,0.008,1.0,,,10.0,1.0
9,A,accuracy,226.0,25,12,0.0,0.0,,,10.0,1.0
9,A,accuracy,326.0,34,7,0.0,1.0,,,10.0,1.0
9,D,accuracy,190.0,21,10,0.005,0.0,,,10.0,1.0
9,D,accuracy,304.0,31,3,0.003,1.0,,,10.0,1.0
9,A,speed,460.0,29,12,0.0,0.0,,,10.0,1.0
9,A,speed,480.0,30,8,0.0,1.0,,,10.0,1.0
9,D,speed,400.0,26,8,0.005,0.0,,,10.0,1.0
9,D,speed,380.0,25,6,0.004,1.0,,,10.0,1.0
9,A,balance,186.0,21,8,0.0,0.0,,,10.0,1.0
9,A,balance,267.5,29,7,0.0,1.0,,,10.0,1.0
9,D,balance,336.0,36,8,0.003,0.0,,,10.0,1.0
9,D,balance,180.0,21,12,0.003,1.0,,,10.0,1.0
9,A,baseline,32.0,32,6,0.0,0.0,,,20.0,0.0
9,A,baseline,32.0,32,4,0.0,1.0,,,20.0,0.0
9,D,baseline,33.0,33,5,0.008,0.0,,,20.0,0.0
9,D,baseline,19.0,19,4,0.003,1.0,,,20.0,0.0
9,A,efficiency,216.0,24,10,0.0,0.0,,,20.0,0.0
9,A,efficiency,256.0,28,10,0.0,1.0,,,20.0,0.0
9,D,efficiency,286.0,31,7,0.004,0.0,,,20.0,0.0
9,D,efficiency,236.0,26,12,0.004,1.0,,,20.0,0.0
9,A,accuracy,258.0,27,6,0.0,0.0,,,20.0,0.0
9,A,accuracy,266.0,27,2,0.0,1.0,,,20.0,0.0
9,D,accuracy,262.0,27,4,0.006,0.0,,,20.0,0.0
9,D,accuracy,248.0,27,11,0.008,1.0,,,20.0,0.0
9,A,speed,480.0,30,6,0.0,0.0,,,20.0,0.0
9,A,speed,580.0,35,3,0.0,1.0,,,20.0,0.0
9,D,speed,540.0,33,3,0.004,0.0,,,20.0,0.0
9,D,speed,500.0,31,6,0.006,1.0,,,20.0,0.0
9,A,balance,267.5,29,7,0.0,0.0,,,20.0,0.0
9,A,balance,277.5,30,7,0.0,1.0,,,20.0,0.0
9,D,balance,357.5,38,7,0.005,0.0,,,20.0,0.0
9,D,balance,290.5,31,5,0.006,1.0,,,20.0,0.0
9,A,baseline,27.0,27,12,0.0,0.0,,,20.0,1.0
9,A,baseline,30.0,30,5,0.0,1.0,,,20.0,1.0
9,D,baseline,33.0,33,5,0.003,0.0,,,20.0,1.0
9,D,baseline,36.0,36,11,0.008,1.0,,,20.0,1.0
9,A,efficiency,316.0,34,12,0.0,0.0,,,20.0,1.0
9,A,efficiency,266.0,29,6,0.0,1.0,,,20.0,1.0
9,D,efficiency,266.0,29,6,0.006,0.0,,,20.0,1.0
9,D,efficiency,266.0,29,2,0.007,1.0,,,20.0,1.0
9,A,accuracy,316.0,33,7,0.0,0.0,,,20.0,1.0
9,A,accuracy,386.0,40,7,0.0,1.0,,,20.0,1.0
9,D,accuracy,238.0,27,16,0.009,0.0,,,20.0,1.0
9,D,accuracy,348.0,37,11,0.005,1.0,,,20.0,1.0
9,A,speed,300.0,21,8,0.0,0.0,,,20.0,1.0
9,A,speed,520.0,32,7,0.0,1.0,,,20.0,1.0
9,D,speed,500.0,31,5,0.01,0.0,,,20.0,1.0
9,D,speed,580.0,35,3,0.005,1.0,,,20.0,1.0
9,A,balance,266.0,29,8,0.0,0.0,,,20.0,1.0
9,A,balance,279.0,30,6,0.0,1.0,,,20.0,1.0
9,D,balance,170.5,19,5,0.002,0.0,,,20.0,1.0
9,D,balance,174.5,20,9,0.007,1.0,,,20.0,1.0
9,A,baseline,28.0,28,8,0.0,0.0,,,40.0,0.0
9,A,baseline,23.0,23,5,0.0,1.0,,,40.0,0.0
9,D,baseline,33.0,33,9,0.007,0.0,,,40.0,0.0
9,D,baseline,25.0,25,5,0.003,1.0,,,40.0,0.0
9,A,efficiency,306.0,33,7,0.0,0.0,,,40.0,0.0
9,A,efficiency,236.0,26,9,0.0,1.0,,,40.0,0.0
9,D,efficiency,296.0,32,9,0.003,0.0,,,40.0,0.0
9,D,efficiency,256.0,28,5,0.004,1.0,,,40.0,0.0
9,A,accuracy,238.0,25,6,0.0,0.0,,,40.0,0.0
9,A,accuracy,270.0,28,5,0.0,1.0,,,40.0,0.0
9,D,accuracy,296.0,31,7,0.005,0.0,,,40.0,0.0
9,D,accuracy,304.0,32,8,0.003,1.0,,,40.0,0.0
9,A,speed,760.0,44,9,0.0,0.0,,,40.0,0.0
9,A,speed,440.0,28,7,0.0,1.0,,,40.0,0.0
9,D,speed,340.0,23,8,0.003,0.0,,,40.0,0.0
9,D,speed,400.0,26,9,0.003,1.0,,,40.0,0.0
9,A,balance,352.0,37,4,0.0,0.0,,,40.0,0.0
9,A,balance,329.0,35,6,0.0,1.0,,,40.0,0.0
9,D,balance,332.0,35,4,0.003,0.0,,,40.0,0.0
9,D,balance,299.0,32,6,0.003,1.0,,,40.0,0.0
9,A,baseline,34.0,34,5,0.0,0.0,,,40.0,1.0
9,A,baseline,25.0,25,14,0.0,1.0,,,40.0,1.0
9,D,baseline,28.0,28,4,0.002,0.0,,,40.0,1.0
9,D,baseline,31.0,31,7,0.004,1.0,,,40.0,1.0
9,A,efficiency,306.0,33,6,0.0,0.0,,,40.0,1.0
9,A,efficiency,246.0,27,5,0.0,1.0,,,40.0,1.0
9,D,efficiency,226.0,25,4,0.001,0.0,,,40.0,1.0
9,D,efficiency,246.0,27,5,0.002,1.0,,,40.0,1.0
9,A,accuracy,240.0,27,15,0.0,0.0,,,40.0,1.0
9,A,accuracy,296.0,31,7,0.0,1.0,,,40.0,1.0
9,D,accuracy,238.0,26,11,0.004,0.0,,,40.0,1.0
9,D,accuracy,198.0,22,11,0.008,1.0,,,40.0,1.0
9,A,speed,360.0,24,7,0.0,0.0,,,40.0,1.0
9,A,speed,320.0,22,6,0.0,1.0,,,40.0,1.0
9,D,speed,440.0,28,5,0.005,0.0,,,40.0,1.0
9,D,speed,440.0,28,7,0.004,1.0,,,40.0,1.0
9,A,balance,232.0,25,4,0.0,0.0,,,40.0,1.0
9,A,balance,163.0,19,10,0.0,1.0,,,40.0,1.0
9,D,balance,227.0,26,14,0.009,0.0,,,40.0,1.0
9,D,balance,266.0,29,8,0.008,1.0,,,40.0,1.0
